species_code,species_name,common_name
30420,Sebastes polyspinis,northern rockfish
30430,Sebastes proriger,redstripe rockfish
30470,Sebastes ruberrimus,yelloweye rockfish
30475,Sebastes babcocki,redbanded rockfish
30535,Sebastes variegatus,harlequin rockfish
30560,Sebastes zacentrus,sharpchin rockfish
30576,Sebastes borealis,shortraker rockfish
30100,Sebastes brevispinis,silvergray rockfish
30152,Sebastes variabilis,dusky rockfish
30051,Sebastes aleutianus,rougheye rockfish
30052,Sebastes melanostictus,blackspotted rockfish
30020,Sebastolobus alascanus,shortspine thornyhead
