species,version,M_method,GOA,BS,AI,BC,WC,multi_region
blackspotted rockfish,1,amax,0.05242718446601942,0.0642857142857143,0.04029850746268657,NA,NA,NA
blackspotted rockfish,2,amax,0.05732484076433121,0.07438016528925621,0.05084745762711865,NA,NA,NA
blackspotted rockfish,1,gsi,NA,NA,NA,NA,NA,NA
blackspotted rockfish,1,lvb,0.15179705437066454,NA,NA,NA,NA,NA
blackspotted rockfish,1,temp,NA,NA,NA,NA,NA,NA
dusky rockfish,1,amax,0.07200000000000001,NA,0.08059701492537313,NA,NA,NA
dusky rockfish,2,amax,0.07917888563049853,NA,0.08544303797468354,NA,NA,NA
dusky rockfish,3,amax,0.08059701492537313,NA,NA,NA,NA,NA
dusky rockfish,1,gsi,0.029072,NA,NA,NA,NA,NA
dusky rockfish,1,lvb,0.3269551612598937,NA,NA,NA,NA,NA
dusky rockfish,1,temp,NA,NA,NA,NA,NA,NA
harlequin rockfish,1,amax,0.11489361702127661,NA,0.06835443037974684,NA,NA,NA
harlequin rockfish,2,amax,0.13117408906882594,NA,0.08517350157728708,NA,NA,NA
harlequin rockfish,3,amax,0.07500000000000001,NA,0.06666666666666667,NA,NA,NA
harlequin rockfish,1,gsi,0.049059,NA,NA,NA,NA,NA
harlequin rockfish,1,lvb,0.4211628310692755,NA,NA,NA,NA,NA
harlequin rockfish,2,lvb,0.3587174160472237,NA,NA,NA,NA,NA
harlequin rockfish,1,temp,0.27829267327359847,NA,NA,NA,NA,NA
rebs rockfish,1,amax,0.04090909090909091,0.04153846153846154,0.04122137404580153,NA,NA,NA
rebs rockfish,2,amax,0.042319749216300946,0.04492512479201331,0.04507512520868114,NA,NA,NA
rebs rockfish,3,amax,0.02634146341463415,NA,NA,NA,NA,NA
rebs rockfish,1,gsi,0.03634,NA,NA,NA,NA,NA
rebs rockfish,1,lvb,0.19540240312888654,NA,0.14351998742373387,NA,NA,NA
rebs rockfish,1,temp,0.09230928906332918,NA,NA,NA,NA,NA
redbanded rockfish,1,amax,0.0509433962264151,NA,NA,NA,NA,NA
redbanded rockfish,1,gsi,NA,NA,NA,NA,NA,NA
redbanded rockfish,1,lvb,NA,NA,NA,0.1231097192026033,NA,NA
redbanded rockfish,1,temp,0.1553108912622629,NA,NA,NA,NA,NA
redstripe rockfish,1,amax,0.11739130434782609,NA,NA,0.09818181818181819,NA,NA
redstripe rockfish,2,amax,0.1377551020408163,NA,NA,NA,NA,NA
redstripe rockfish,1,gsi,NA,NA,NA,NA,NA,NA
redstripe rockfish,1,lvb,NA,NA,NA,NA,NA,NA
redstripe rockfish,1,temp,NA,NA,NA,NA,NA,NA
rougheye rockfish,1,amax,0.04,0.05046728971962617,0.04655172413793104,NA,NA,NA
rougheye rockfish,2,amax,0.047619047619047616,0.05182341650671785,0.05648535564853557,NA,NA,NA
rougheye rockfish,3,amax,0.02634146341463415,NA,NA,NA,NA,NA
rougheye rockfish,1,gsi,NA,NA,NA,NA,NA,NA
rougheye rockfish,1,lvb,0.21904774404531713,NA,NA,NA,NA,NA
rougheye rockfish,1,temp,NA,NA,NA,NA,NA,NA
sharpchin rockfish,1,amax,0.1125,NA,NA,NA,0.09310344827586207,NA
sharpchin rockfish,2,amax,0.12442396313364057,NA,NA,NA,NA,NA
sharpchin rockfish,1,gsi,NA,NA,NA,NA,NA,NA
sharpchin rockfish,1,lvb,0.2950613452846096,NA,NA,0.22826938189279367,0.3548548991748058,NA
sharpchin rockfish,1,temp,0.2317214534391276,NA,NA,NA,NA,NA
shortraker rockfish,1,amax,0.036986301369863014,NA,0.043548387096774194,0.045000000000000005,NA,NA
shortraker rockfish,2,amax,0.04225352112676057,NA,0.049090909090909095,NA,NA,NA
shortraker rockfish,3,amax,0.034394904458598725,NA,NA,NA,NA,NA
shortraker rockfish,4,amax,0.03375,NA,NA,NA,NA,NA
shortraker rockfish,1,gsi,NA,NA,NA,NA,NA,NA
shortraker rockfish,1,lvb,NA,NA,NA,NA,NA,0.07346967488366232
shortraker rockfish,1,temp,0.09252301499463407,NA,NA,NA,NA,NA
shortspine thornyhead,1,amax,0.08709677419354839,NA,NA,NA,0.036000000000000004,0.10800000000000001
shortspine thornyhead,2,amax,0.0406015037593985,NA,NA,NA,0.04695652173913044,0.054000000000000006
shortspine thornyhead,3,amax,NA,NA,NA,NA,0.054000000000000006,0.0216
shortspine thornyhead,4,amax,NA,NA,NA,NA,NA,0.017252396166134186
shortspine thornyhead,1,gsi,0.0130824,0.0165347,0.0170798,NA,NA,NA
shortspine thornyhead,1,lvb,NA,NA,NA,NA,NA,NA
shortspine thornyhead,1,temp,0.11193769102421136,NA,NA,NA,NA,NA
silvergray rockfish,1,amax,0.06835443037974684,NA,NA,0.06666666666666667,NA,NA
silvergray rockfish,2,amax,0.07627118644067797,NA,NA,NA,NA,NA
silvergray rockfish,3,amax,0.07200000000000001,NA,NA,NA,NA,NA
silvergray rockfish,1,gsi,NA,NA,NA,NA,NA,NA
silvergray rockfish,1,lvb,NA,NA,NA,NA,NA,NA
silvergray rockfish,1,temp,0.17955221323996598,NA,NA,NA,NA,NA
yelloweye rockfish,1,amax,0.04426229508196722,NA,NA,0.04695652173913044,NA,NA
yelloweye rockfish,2,amax,0.04736842105263158,NA,NA,NA,NA,NA
yelloweye rockfish,3,amax,0.04576271186440678,NA,NA,NA,NA,NA
yelloweye rockfish,1,gsi,0.0517845,NA,NA,NA,NA,NA
yelloweye rockfish,1,lvb,NA,NA,NA,NA,NA,NA
yelloweye rockfish,1,temp,0.1327104989275052,NA,NA,NA,NA,NA
