Species,Region,Total N,Survey N,Fishery N,Maximum age observed,Mean top 5 ages,Survey years,Fishery years
dusky rockfish,AI,1020,1020,0,67,63.2,"2002, 2004, 2006, 2010, 2012, 2014, 2016",
dusky rockfish,GOA,9418,5479,3939,75,68.2,"1996, 1999, 2001, 2003, 2005, 2007, 2009, 2011, 2013, 2015, 2017, 2019","2008, 2010, 2012, 2014, 2016, 2018, 2020"
harlequin rockfish,AI,227,227,0,79,63.4,"2004, 2006, 2010, 2014, 2016",
harlequin rockfish,GOA,1069,1069,0,47,41.166666666666664,"1978, 1996, 1999, 2011, 2015",
silvergray rockfish,GOA,1047,1047,0,79,70.8,"1978, 1993, 1996, 1999, 2005",
redstripe rockfish,GOA,706,706,0,46,39.2,"1978, 1996, 2011, 2013",
sharpchin rockfish,GOA,648,648,0,48,43.4,"1978, 1990, 1996",
shortraker rockfish,AI,1084,1084,0,124,110,"2004, 2006",
shortraker rockfish,GOA,1851,1851,0,146,127.8,"1978, 1996, 1999, 2003, 2005",
rougheye rockfish,AI,150,150,0,116,95.6,"2006, 2010, 2012, 2014, 2018",
rougheye rockfish,BS,208,208,0,107,104.2,"2008, 2010, 2012, 2016",
rougheye rockfish,GOA,2196,2196,0,135,113.4,"2007, 2009, 2011, 2013, 2015, 2017, 2019",
blackspotted rockfish,AI,2426,2426,0,134,106.2,"2006, 2010, 2012, 2014, 2016, 2018",
blackspotted rockfish,BS,439,439,0,84,72.6,"2008, 2010, 2012, 2016",
blackspotted rockfish,GOA,2037,2037,0,103,94.2,"2007, 2009, 2011, 2013, 2015, 2017, 2019",
rebs rockfish,AI,5459,3358,2101,131,119.8,"1986, 1991, 1994, 1997, 2000, 2002, 2004","2004, 2005, 2006, 2007, 2008, 2009, 2011, 2013, 2015, 2017, 2019, 2020"
rebs rockfish,BS,958,320,638,130,120.2,"2002, 2004","2004, 2005, 2007, 2008, 2009, 2011, 2013, 2015, 2017, 2019, 2020"
rebs rockfish,GOA,8208,4493,3715,132,127.6,"1978, 1979, 1984, 1987, 1990, 1993, 1996, 1999, 2003, 2005, 2009","1990, 2004, 2006, 2008, 2009, 2010, 2012, 2014, 2016, 2018, 2020"
